"","Sample_ID","Rep","median_SpC","median_pH","median_Temp","median_Respiration_Rate_mg_DO_per_L_per_H","median_Respiration_Rate_mg_DO_per_kg_per_H","median_Fe_mg_per_kg","median_Fe_mg_per_L","median_Initial_Gravimetric_Moisture","median_Final_Gravimetric_Moisture","median_ATP_nanomol_per_L","median_ATP_picomol_per_g","median_NPOC_mg_C_per_L","median_TN_mg_N_per_L","median_NPOC_mg_C_per_kg","median_TN_mg_N_per_kg","median_toc_percent","median_tn_percent","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa","median_Lost_Gravimetric_Water"
"58","EC_068_INC","Wet",307.9,6.81,21.8,260.234,1646.788,7.293,1.157,2.06,2.06,3,25.23,7.84,1.42,49.48,8.99,3.23,0.4,14.3,0.9,6.9,22.1,26.9,51,57.538,0
"59","EC_069_INC","Dry",1624,6.84,21,3.05,9.738,0.261,0.082,0.26,0.14,116.7,398.42,3.81,4.4,12.14,14.01,2.62,0.15,5.9,5.5,83.3,94.7,3.3,2,6.542,0.12
"60","EC_069_INC","Wet",1256,6.57,21.3,215.615,682.578,0.954,0.3,0.54,0.54,65.09,224.48,4.15,1.09,13.14,3.48,2.64,0.21,5.9,5.5,83.3,94.7,3.3,2,6.542,0
"61","EC_070_INC","Dry",147.3,7.01,21,0.647,2.239,1.032,0.297,0.36,0.22,22.71,73.85,2.56,0.68,8.89,2.36,0.34,0.14,37.2,46.1,4,87.3,3.4,9.3,3.45175,0.14
"62","EC_070_INC","Wet",167.2,6.71,21.2,2.742,9.532,0.997,0.287,0.6,0.6,14.31,44.55,2.92,0.57,10.17,1.99,0.4,0.25,37.2,46.1,4,87.3,3.4,9.3,3.45175,0
"63","EC_071_INC","Dry",564.6,6.67,20,6.601,33.451,0.373,0.074,0.9,0.57,5.87,43.58,5.86,6.38,29.52,32.27,2.08,0.37,27.2,21.6,2.5,51.3,1.7,47,46.784,0.33
"64","EC_071_INC","Wet",466.9,6.59,19.7,284.81,1437.535,1.573,0.312,1.09,1.09,7.03,69.9,5.67,7.43,28.62,37.5,2.49,0.35,27.2,21.6,2.5,51.3,1.7,47,46.784,0
"65","EC_072_INC","Dry",933.7,6.995,21,252.492,1274.4075,0.4095,0.081,1,0.58,9.255,67.97,8.33,2.075,41.865,10.48,2.695,0.345,11.6,4.7,1.2,17.5,44.5,38,99.0613333333333,0.42
"66","EC_072_INC","Wet",961.95,6.86,20.9,265.1615,1341.2575,0.95,0.1875,1.3,1.3,5.44,39.2,8.315,2.495,42.06,12.635,2.955,0.345,11.6,4.7,1.2,17.5,44.5,38,99.0613333333333,0
"67","EC_073_INC","Dry",103.2,7.5,21.3,0.291,1.415,0.967,0.2,0.84,0.64,4.37,12.89,2.46,1.23,11.91,5.97,0.25,0.23,5.7,2.6,87.1,95.4,0.4,4.2,4.4186,0.2
"68","EC_073_INC","Wet",110.4,7.7,21.3,2.367,11.485,1.216,0.251,1.11,1.11,4.46,13.48,2.52,0.52,12.2,2.53,0.22,0.17,5.7,2.6,87.1,95.4,0.4,4.2,4.4186,0
"69","EC_074_INC","Dry",119.7,6.78,21,0.515,1.546,0.098,0.033,0.2,0.08,5.26,18.61,1.9,2.84,5.72,8.53,0.19,0.23,2.2,20.2,75.9,98.3,1.7,0,6.0076,0.12
"70","EC_074_INC","Wet",104.1,6.94,20.8,0.588,1.759,0.066,0.022,0.4,0.4,4.82,13.04,1.98,0.91,5.94,2.73,0.21,0.235,2.2,20.2,75.9,98.3,1.7,0,6.0076,0
"71","EC_075_INC","Dry",204.3,7.26,21.9,2.22,7.719,0.959,0.278,0.36,0.12,25.59,111.24,17.94,1.34,62.38,4.63,1.12,0.16,59,26.1,1.4,86.5,3.8,9.7,10.907,0.24
"72","EC_075_INC","Wet",213.2,6.89,21.8,197.057,684.133,1.643,0.472,0.56,0.56,18.12,62.82,14.61,1.08,50.45,3.76,0.73,0.19,59,26.1,1.4,86.5,3.8,9.7,10.907,0
"73","EC_076_INC","Dry",719.4,7.57,20.9,2.316,7.509,0.225,0.069,0.29,0.05,56.98,174.03,6.7,3.51,21.83,11.5,0.86,0.19,27.9,28.4,13.6,69.9,4.7,25.4,12.886,0.24
"74","EC_076_INC","Wet",712.1,7.46,21.2,135.456,441.428,0.437,0.134,0.61,0.61,51.12,184.32,7.1,2.02,23.12,6.58,1.01,0.13,27.9,28.4,13.6,69.9,4.7,25.4,12.886,0
"75","EC_078_INC","Dry",714.7,6.85,21.2,2.341,10.209,0.655,0.151,0.66,0.44,45.22,243.31,3.16,3.36,13.82,14.43,11.35,0.44,39.1,34.1,5.2,78.4,1.3,20.3,23.7903333333333,0.22
"76","EC_078_INC","Wet",500.05,6.66,21.1,245.413,1057.801,1.637,0.378,0.91,0.91,33.41,149.39,3.48,2.19,15.08,9.55,8.71,0.36,39.1,34.1,5.2,78.4,1.3,20.3,23.7903333333333,0
"77","EC_080_INC","Dry",237.5,6.47,21,275.556,3492.72,2.855,0.225,3.66,3.04,6.72,156.03,10.58,1.04,134.1,13.21,12.06,0.595,43.9,33,2,78.9,13.5,7.6,80.5323333333333,0.62
"78","EC_080_INC","Wet",256.5,6.63,20.7,276.502,3529.923,3.198,0.251,3.89,3.89,5.82,106.63,10.71,1.19,136.73,15.19,10.41,0.62,43.9,33,2,78.9,13.5,7.6,80.5323333333333,0
"79","EC_081_INC","Dry",75.08,6.43,19.7,0.519,1.782,0.352,0.102,0.34,0.2,16.88,63.12,5.7,0.6,19.58,2.06,0.51,0.11,27.4,61.2,1.7,90.3,1.1,8.6,5.2445,0.14
"80","EC_081_INC","Wet",82.17,6.55,19.8,183.637,632.225,0.683,0.195,0.54,0.54,26.93,102.13,5.51,0.64,18.97,2.27,0.31,0.2,27.4,61.2,1.7,90.3,1.1,8.6,5.2445,0
"81","EC_082_INC","Dry",116.1,6.69,19.8,0.82,2.712,0.355,0.104,0.65,0.51,29.25,104.58,7.58,0.68,25.54,2.32,1.31,0.16,51.7,34.9,7,93.6,2,4.4,7.0035,0.14
"82","EC_082_INC","Wet",127.1,6.67,19.7,181.327,609.593,0.394,0.118,0.9,0.9,20.04,70.06,6.44,0.66,22.11,2.2,1.27,0.17,51.7,34.9,7,93.6,2,4.4,7.0035,0
"83","EC_084_INC","Dry",171.1,6.75,21.2,7.256,26.172,0.41,0.113,0.41,0.24,9.55,30.38,4.4,1,15.89,3.62,0.42,0.14,1.9,1.2,93.6,96.7,1.4,1.9,4.29733333333333,0.17
"84","EC_084_INC","Wet",197.3,6.89,21.3,160.484,582.052,0.406,0.114,0.55,0.61,4.8,16.21,5.99,1,21.76,3.63,0.49,0.3,1.9,1.2,93.6,96.7,1.4,1.9,4.29733333333333,-0.0599999999999999
"85","EC_085_INC","Dry",146.1,6.73,21.2,0.556,1.896,0.933,0.274,0.34,0.13,31.96,124.39,6,1.41,20.54,4.83,0.31,0.17,34.6,39,3.4,77,3.1,19.9,6.01133333333333,0.21
"86","EC_085_INC","Wet",152.4,6.99,21,172.448,590.672,3.316,0.973,0.54,0.54,13.54,61.33,6.24,0.74,21.27,2.53,0.3,0.18,34.6,39,3.4,77,3.1,19.9,6.01133333333333,0
"87","EC_088_INC","Dry",82.05,5.75,20.7,5.321,20.017,0.517,0.138,0.45,0.2,62.71,280.03,4.21,2.78,15.84,10.46,2.08,0.27,28,21.5,18.5,68,3.3,28.7,27.682,0.25
"88","EC_088_INC","Wet",101.8,6.01,20.6,230.532,865.794,1.786,0.477,0.67,0.67,34.24,145.48,5.95,2.21,22.27,8.32,0.96,0.2,28,21.5,18.5,68,3.3,28.7,27.682,0
"89","EC_089_INC","Dry",84.01,5.86,19.6,0.674,2.172,0.425,0.13,0.29,0.19,15.28,49.17,4.91,0.4,15.83,1.31,0.22,0.18,23.6,20.9,46.4,90.9,4.1,5,8.932,0.1
"90","EC_089_INC","Wet",99.05,5.87,19.5,2.152,7.095,0.579,0.176,0.49,0.49,24.87,76.23,5.8,0.43,19.14,1.43,0.22,0.25,23.6,20.9,46.4,90.9,4.1,5,8.932,0
"91","EC_090_INC","Dry",36.29,5.35,20.5,0.238,0.7,0.749,0.252,0.18,0.07,24.79,68.46,2.6,0.91,7.56,2.65,0.39,0.24,21,23.9,31.7,76.6,4.9,18.5,7.345,0.11
"92","EC_090_INC","Wet",29,5.77,20.5,141.168,419.335,2.385,0.813,0.35,0.35,11.26,31.55,2.01,0.35,5.96,1.06,0.42,0.19,21,23.9,31.7,76.6,4.9,18.5,7.345,0
"93","EC_091_INC","Dry",161,6.27,20,4.398,14.377,0.564,0.169,0.33,0.18,17.68,62.88,3.54,0.88,11.88,2.88,0.27,0.18,72.4,15,1.2,88.6,3.7,7.7,5.4435,0.15
"94","EC_091_INC","Wet",153.8,6.83,20.1,121.422,404.789,0.83,0.253,0.52,0.52,12.91,45.36,3.62,0.82,11.98,2.78,0.35,0.24,72.4,15,1.2,88.6,3.7,7.7,5.4435,0
"95","EC_092_INC","Dry",142.3,6.96,20,0.438,1.324,0.151,0.05,0.2,0.08,17.23,41.35,4.6,1.61,13.57,4.75,0.66,0.22,14,19.1,56.4,89.5,3,7.5,2.85366666666667,0.12
"96","EC_092_INC","Wet",168.2,6.18,20,2.346,7.037,0.319,0.106,0.38,0.38,24.43,76.24,4.64,0.57,14.05,1.71,0.57,0.22,14,19.1,56.4,89.5,3,7.5,2.85366666666667,0
"97","EC_093_INC","Dry",56.27,6.6,20.6,0,0,0.198,0.064,0.23,0.12,2.97,9.07,14.64,1.04,44.08,3.18,0.25,0.24,4.2,11.2,82.3,97.7,1.8,0.5,4.04066666666667,0.11
"98","EC_093_INC","Wet",70.03,6.52,20.3,0.52,1.617,0.202,0.066,0.41,0.41,3.58,10.22,13.41,0.77,41.46,2.37,0.25,0.24,4.2,11.2,82.3,97.7,1.8,0.5,4.04066666666667,0
"99","EC_094_INC","Dry",238.1,6.6,20.4,0.919,2.984,1.285,0.399,0.29,0.17,48.08,169.59,10.24,1.39,33.38,4.51,0.71,0.25,23.6,18.9,48.6,91.1,4.1,4.8,5.065,0.12
"100","EC_094_INC","Wet",243.9,6.45,20.2,124.638,408.758,1.465,0.447,0.48,0.48,32.88,105.25,10.75,0.93,35.26,3.05,0.74,0.25,23.6,18.9,48.6,91.1,4.1,4.8,5.065,0
"101","EC_095_INC","Dry",369.9,5.21,19.5,2.539,10.676,0.076,0.018,0.61,0.26,62.34,417.78,3.92,2.99,16.49,12.52,3.53,0.43,45.2,16.1,4.2,65.5,1.8,32.7,12.832,0.35
"102","EC_095_INC","Wet",343.1,5.69,19.5,282.83,1178.232,1.622,0.389,0.85,0.85,31.31,237.11,7.34,1.57,30.97,6.58,3.41,0.33,45.2,16.1,4.2,65.5,1.8,32.7,12.832,0
