"","Sample_Name","Sample_ID","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g"
"53","EC_014_INC-D3","EC_014",-0.272,-1.118,0.181463012747034,0.745545824455213,"6.7","41.8","43.5","92","2.7","5.3",5.241,133.2,20.9,6.71,7.6,6.09,12.43
"54","EC_014_INC-D4","EC_014",-0.335,-1.376,0.180393811830688,0.741152982814272,"6.7","41.8","43.5","92","2.7","5.3",5.241,127.8,21.1,6.5,7.6,6.36,12.43
"55","EC_014_INC-D5","EC_014",-0.305,-1.255,0.219654771212495,0.903912128207165,"6.7","41.8","43.5","92","2.7","5.3",5.241,126.1,21.1,6.49,7.59,6.09,12.41
"56","EC_014_INC-W1","EC_014",-0.358,-1.471,0.16739459153759,0.687745325441124,"6.7","41.8","43.5","92","2.7","5.3",5.241,103.1,21.2,6.26,10.56,10.56,12.43
"57","EC_014_INC-W2","EC_014",-0.446,-1.838,0.181434061518773,0.74783342112205,"6.7","41.8","43.5","92","2.7","5.3",5.241,105.1,20.09,6.7,10.56,10.55,12.39
"58","EC_014_INC-W3","EC_014",-136.324,-560.547,0.0997189723031631,0.410028035148972,"6.7","41.8","43.5","92","2.7","5.3",5.241,104.6,21.1,7.07,10.59,11.55,12.42
"59","EC_014_INC-W4","EC_014",-137.274,-562.19,0.136719011305104,0.559912043972762,"6.7","41.8","43.5","92","2.7","5.3",5.241,103,21,6.89,10.6,10.6,12.47
"60","EC_014_INC-W5","EC_014",-9999,-9999,0.150733871633163,0.620792587938224,"6.7","41.8","43.5","92","2.7","5.3",5.241,102.7,21,6.88,10.6,10.6,12.4
"61","EC_017_INC-D1","EC_017",-0.429,-1.373,0.0495475697474032,0.158527262199374,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,280.7,20.7,6.41,4.03,1.68,15.88
"62","EC_017_INC-D2","EC_017",0,0,0.0507575280493452,0.161990482734368,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,280.8,20.8,5.87,4.04,1.74,15.92
