"Sample_ID","Treat","Mean_SpC","Mean_pH","Mean_Temp","Mean_WithOutliers_Respiration_Rate_mg_DO_per_L_per_H","Mean_WithOutliers_Respiration_Rate_mg_DO_per_kg_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_L_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_kg_per_H","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water","Mean_ATP_nanomol_per_L","Mean_ATP_picomol_per_g","Mean_Fe_mg_per_kg","Mean_Fe_mg_per_L","mean_npoc","mean_tn","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","mean_ssa"
"EC_041","D",227.36,7.356,20.54,3.812,14.213,5.853,21.83,0.455946209834889,0.25621306324363,0.199733146591259,10.65,40.208,0.354,0.095,2.826,1.108,7.2,31.9,55,94.1,4.1,1.8,11.21
"EC_041","W",242.66,7.302,20.26,126.939,472.6,126.939,472.6,0.716659837962222,0.716804975843209,-0.000145137880986934,28.972,117.3,0.441,0.118,2.84,0.8,7.2,31.9,55,94.1,4.1,1.8,11.21
"EC_042","D",117.36,7.408,20.24,1.349,4.755,0.357,1.256,0.374364092063193,0.253470006556491,0.120894085506702,0.548,1.79,0.176,0.05,1.94,1.71,6.4,11.3,77,94.7,1.3,4,7.17733333333333
"EC_042","W",114.32,7.256,20.36,4.3,15.1,3.092,10.857,0.57883952034183,0.57883952034183,0,0.686,1.854,0.128,0.036,1.898,0.598,6.4,11.3,77,94.7,1.3,4,7.17733333333333
"EC_044","D",93.198,5.496,20.78,0.008,0.026,0,0,0.214841357211018,0.0718986553351366,0.142942701875882,13.248,42.196,0.149,0.049,2.62,1.90571428571429,12,23.3,59.7,95,2.6,2.4,9.6572
"EC_044","W",123.94,6.234,20.44,4.504,13.751,2.457,7.501,0.428311762012147,0.428311762012147,0,18.464,49.926,0.22,0.072,4.258,0.532,12,23.3,59.7,95,2.6,2.4,9.6572
"EC_051","D",41.42,7.344,21.18,3.233,11.175,0.195,0.673,0.359750397427309,0.232594859140402,0.127155538286907,39.572,140.99,0.469,0.136,1.506,0.844,6,6.6,72,84.6,4.3,11.1,64.1443333333333
"EC_051","W",44.744,7.52,20.88,2.68,9.261,1.101,3.806,0.631430511192184,0.631430511192184,0,34.034,127.192,0.67,0.194,1.656,0.204,6,6.6,72,84.6,4.3,11.1,64.1443333333333
"EC_056","D",18.516,5.956,20.56,0,0,0,0,0.169003203044792,0.0308333376873374,0.138169865357455,0.85,2.742,0.063,0.022,2.814,0.288,3,25.3,70.2,98.5,1.5,0,2.183
"EC_056","W",16.44,5.404,20.94,0,0,0,0,0.427462388521048,0.427462388521048,0,0.962,2.908,0.077,0.026,2.438,0.264,3,25.3,70.2,98.5,1.5,0,2.183
