"","Sample_ID","Rep","median_SpC","median_pH","median_Temp","median_Respiration_Rate_mg_DO_per_L_per_H","median_Respiration_Rate_mg_DO_per_kg_per_H","median_Fe_mg_per_kg","median_Fe_mg_per_L","median_Initial_Water_mass_g","median_Final_Water_mass_g","median_Dry_Sediment_Mass_g","median_Initial_Gravimetric_Moisture","median_Final_Gravimetric_Moisture","median_Incubation_Water_Mass_g","median_ATP_nanomol_per_L","median_ATP_picomol_per_g","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa","median_Lost_Gravimetric_Water"
"86","EC_080_INC","Wet",256.5,6.63,20.7,276.502,3529.923,3.198,0.251,16.69,16.69,4.29,3.89,3.89,54.64,5.82,106.63,43.9,33,2,78.9,13.5,7.6,80.5323333333333,0
"87","EC_081_INC","Dry",75.08,6.43,19.7,0.519,1.782,0.352,0.102,5.12,3,14.92,0.34,0.2,51.07,16.88,63.12,27.4,61.2,1.7,90.3,1.1,8.6,5.2445,0.14
"88","EC_081_INC","Wet",82.17,6.55,19.8,183.637,632.225,0.683,0.195,8.05,8.05,14.9,0.54,0.54,51.16,26.93,102.13,27.4,61.2,1.7,90.3,1.1,8.6,5.2445,0
"89","EC_082_INC","Dry",116.1,6.69,19.8,0.82,2.712,0.355,0.104,7.9,6.21,12.09,0.65,0.51,51.18,29.25,104.58,51.7,34.9,7,93.6,2,4.4,7.0035,0.14
"90","EC_082_INC","Wet",127.1,6.67,19.7,181.327,609.593,0.394,0.118,10.86,10.86,12.12,0.9,0.9,51.78,20.04,70.06,51.7,34.9,7,93.6,2,4.4,7.0035,0
"91","EC_084_INC","Dry",171.1,6.75,21.2,7.256,26.172,0.41,0.113,5.81,3.34,14.18,0.41,0.24,51.3,9.55,30.38,1.9,1.2,93.6,96.7,1.4,1.9,4.29733333333333,0.17
"92","EC_084_INC","Wet",197.3,6.89,21.3,160.484,582.052,0.406,0.114,7.79,8.65,14.13,0.55,0.61,51.32,4.8,16.21,1.9,1.2,93.6,96.7,1.4,1.9,4.29733333333333,-0.0599999999999999
"93","EC_085_INC","Dry",146.1,6.73,21.2,0.556,1.896,0.933,0.274,5.07,1.93,14.91,0.34,0.13,51.07,31.96,124.39,34.6,39,3.4,77,3.1,19.9,6.01133333333333,0.21
"94","EC_085_INC","Wet",152.4,6.99,21,172.448,590.672,3.316,0.973,8.07,8.07,14.93,0.54,0.54,51.06,13.54,61.33,34.6,39,3.4,77,3.1,19.9,6.01133333333333,0
"95","EC_088_INC","Dry",82.05,5.75,20.7,5.321,20.017,0.517,0.138,6.24,2.73,13.75,0.45,0.2,51.65,62.71,280.03,28,21.5,18.5,68,3.3,28.7,27.682,0.25
"96","EC_088_INC","Wet",101.8,6.01,20.6,230.532,865.794,1.786,0.477,9.26,9.26,13.74,0.67,0.67,51.65,34.24,145.48,28,21.5,18.5,68,3.3,28.7,27.682,0
"97","EC_089_INC","Dry",84.01,5.86,19.6,0.674,2.172,0.425,0.13,4.53,2.98,15.46,0.29,0.19,50.13,15.28,49.17,23.6,20.9,46.4,90.9,4.1,5,8.932,0.1
"98","EC_089_INC","Wet",99.05,5.87,19.5,2.152,7.095,0.579,0.176,7.55,7.55,15.47,0.49,0.49,50.99,24.87,76.23,23.6,20.9,46.4,90.9,4.1,5,8.932,0
"99","EC_090_INC","Dry",36.29,5.35,20.5,0.238,0.7,0.749,0.252,3,1.24,16.99,0.18,0.07,49.81,24.79,68.46,21,23.9,31.7,76.6,4.9,18.5,7.345,0.11
"100","EC_090_INC","Wet",29,5.77,20.5,141.168,419.335,2.385,0.813,6.01,5.99,17,0.35,0.35,50.31,11.26,31.55,21,23.9,31.7,76.6,4.9,18.5,7.345,0
"101","EC_091_INC","Dry",161,6.27,20,4.398,14.377,0.564,0.169,4.92,2.67,15.06,0.33,0.18,50.31,17.68,62.88,72.4,15,1.2,88.6,3.7,7.7,5.4435,0.15
"102","EC_091_INC","Wet",153.8,6.83,20.1,121.422,404.789,0.83,0.253,7.92,7.93,15.11,0.52,0.52,50.37,12.91,45.36,72.4,15,1.2,88.6,3.7,7.7,5.4435,0
"103","EC_092_INC","Dry",142.3,6.96,20,0.438,1.324,0.151,0.05,3.29,1.38,16.71,0.2,0.08,49.7,17.23,41.35,14,19.1,56.4,89.5,3,7.5,2.85366666666667,0.12
"104","EC_092_INC","Wet",168.2,6.18,20,2.346,7.037,0.319,0.106,6.31,6.31,16.74,0.38,0.38,50.59,24.43,76.24,14,19.1,56.4,89.5,3,7.5,2.85366666666667,0
"105","EC_093_INC","Dry",56.27,6.6,20.6,0,0,0.198,0.064,3.69,1.96,16.3,0.23,0.12,49.7,2.97,9.07,4.2,11.2,82.3,97.7,1.8,0.5,4.04066666666667,0.11
"106","EC_093_INC","Wet",70.03,6.52,20.3,0.52,1.617,0.202,0.066,6.73,6.71,16.31,0.41,0.41,50.69,3.58,10.22,4.2,11.2,82.3,97.7,1.8,0.5,4.04066666666667,0
"107","EC_094_INC","Dry",238.1,6.6,20.4,0.919,2.984,1.285,0.399,4.46,2.59,15.56,0.29,0.17,50.58,48.08,169.59,23.6,18.9,48.6,91.1,4.1,4.8,5.065,0.12
"108","EC_094_INC","Wet",243.9,6.45,20.2,124.638,408.758,1.465,0.447,7.48,7.47,15.55,0.48,0.48,50.37,32.88,105.25,23.6,18.9,48.6,91.1,4.1,4.8,5.065,0
"109","EC_095_INC","Dry",369.9,5.21,19.5,2.539,10.676,0.076,0.018,7.58,3.27,12.42,0.61,0.26,52.39,62.34,417.78,45.2,16.1,4.2,65.5,1.8,32.7,12.832,0.35
"110","EC_095_INC","Wet",343.1,5.69,19.5,282.83,1178.232,1.622,0.389,10.51,10.51,12.43,0.85,0.85,52.22,31.31,237.11,45.2,16.1,4.2,65.5,1.8,32.7,12.832,0
